timestamp,GC=F,GLD,consensus_price,target,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,rolling_mean_5,rolling_std_5,returns
2026-07-21 00:10:00-04:00,4050.699951171875,367.5899963378906,4033.694850625941,4033.544826211878,4034.9948994540655,4034.9948994540655,4034.4948994540655,4034.694850625941,4035.444850625941,4034.7448994540655,4034.194850625941,4034.544826211878,4034.594875040003,4034.644923868128,4034.574879922816,0.5357411272269632,-0.00032219342539951956
2026-07-21 00:11:00-04:00,4050.39990234375,367.5899963378906,4033.544826211878,4033.794826211878,4033.694850625941,4034.9948994540655,4034.9948994540655,4034.4948994540655,4034.694850625941,4035.444850625941,4034.7448994540655,4034.194850625941,4034.544826211878,4034.594875040003,4034.344875040003,0.6946547107789203,-3.7192802038510386e-05
2026-07-21 00:12:00-04:00,4050.89990234375,367.5899963378906,4033.794826211878,4033.7448994540655,4033.544826211878,4033.694850625941,4034.9948994540655,4034.9948994540655,4034.4948994540655,4034.694850625941,4035.444850625941,4034.7448994540655,4034.194850625941,4034.544826211878,4034.2048603915655,0.7266716157334906,6.198022106396195e-05
2026-07-21 00:13:00-04:00,4050.800048828125,367.5899963378906,4033.7448994540655,4033.694850625941,4033.794826211878,4033.544826211878,4033.694850625941,4034.9948994540655,4034.9948994540655,4034.4948994540655,4034.694850625941,4035.444850625941,4034.7448994540655,4034.194850625941,4033.9548603915655,0.5888779356116357,-1.2377118808304388e-05
2026-07-21 00:14:00-04:00,4050.699951171875,367.5899963378906,4033.694850625941,4033.644923868128,4033.7448994540655,4033.794826211878,4033.544826211878,4033.694850625941,4034.9948994540655,4034.9948994540655,4034.4948994540655,4034.694850625941,4035.444850625941,4034.7448994540655,4033.6948506259405,0.0935512263328738,-1.2407534281888566e-05
2026-07-21 00:15:00-04:00,4050.60009765625,367.5899963378906,4033.644923868128,4033.844875040003,4033.694850625941,4033.7448994540655,4033.794826211878,4033.544826211878,4033.694850625941,4034.9948994540655,4034.9948994540655,4034.4948994540655,4034.694850625941,4035.444850625941,4033.6848652743784,0.09617883435307922,-1.237742557680388e-05
2026-07-21 00:16:00-04:00,4051.0,367.5899963378906,4033.844875040003,4033.544826211878,4033.644923868128,4033.694850625941,4033.7448994540655,4033.794826211878,4033.544826211878,4033.694850625941,4034.9948994540655,4034.9948994540655,4034.4948994540655,4034.694850625941,4033.7448750400026,0.07903764756071015,4.9570841174295666e-05
2026-07-21 00:17:00-04:00,4050.39990234375,367.5899963378906,4033.544826211878,4033.094875040003,4033.844875040003,4033.644923868128,4033.694850625941,4033.7448994540655,4033.794826211878,4033.544826211878,4033.694850625941,4034.9948994540655,4034.9948994540655,4034.4948994540655,4033.6948750400034,0.11181705257943972,-7.438283757055242e-05
2026-07-21 00:18:00-04:00,4049.5,367.5899963378906,4033.094875040003,4032.794826211878,4033.544826211878,4033.844875040003,4033.644923868128,4033.694850625941,4033.7448994540655,4033.794826211878,4033.544826211878,4033.694850625941,4034.9948994540655,4034.9948994540655,4033.5648701571904,0.2841669505820469,-0.0001115522924032275
2026-07-21 00:19:00-04:00,4048.89990234375,367.5899963378906,4032.794826211878,4034.044826211878,4033.094875040003,4033.544826211878,4033.844875040003,4033.644923868128,4033.694850625941,4033.7448994540655,4033.794826211878,4033.544826211878,4033.694850625941,4034.9948994540655,4033.3848652743777,0.429263144669632,-7.439666990771698e-05
